"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "GB_ACC" "RefSeq.Transcript.ID" "Entrez.Gene" "Gene.Symbol"
"1418030_PM_at" -2.03955747645053 6.26639812871746 -30.4927452584228 1.51641603938631e-14 3.59740672775436e-11 23.5535125774049 "NM_023908" "NM_001038643 /// NM_023908" "108116" "Slco3a1"
"1424194_PM_at" -1.93763119062036 8.17486060908026 -25.2766540727715 2.18825230415081e-13 1.97559794523344e-10 21.0657378728173 "BC025872" "NM_001038846 /// NM_178593" "226594" "Rcsd1"
"1418321_PM_at" -1.76727280879822 7.15217071041026 -25.4074754205587 2.03378722352195e-13 1.91264977202093e-10 21.1354320783964 "NM_010023" "NM_010023" "13177" "Dci"
"1456014_PM_s_at" -1.55660230523619 10.2731135552313 -25.8561907980722 1.5865002252391e-13 1.74673674798825e-10 21.3713284973665 "BB113173" "NM_153795" "108101" "Fermt3"
"1436540_PM_at" 2.14438580082938 6.46624548301518 26.0215795439364 1.44922398671301e-13 1.67742102523621e-10 21.4570650645466 "BQ031149" "NR_029656" "387247" "Mirlet7d"
"1418926_PM_at" 2.29998009291649 9.35109922268994 27.1648964161555 7.86721102737868e-14 1.07616294844515e-10 22.0326112848562 "NM_011546" "NM_011546" "21417" "Zeb1"
"1457552_PM_at" 2.54222385919501 7.45794081334223 32.120232725362 7.21594793928511e-15 2.23139322565832e-11 24.2236089924296 "BB482373" "NM_001081684 /// NM_001081685 /// NM_175428" "114565" "Zfp295"
"1458385_PM_at" 2.66123954494668 6.20333948516165 26.0783316917069 1.40508841124355e-13 1.66913410452487e-10 21.48633705464 "AI461691" "NM_011020" "18415" "Hspa4l"
"1429222_PM_at" 2.86651598808506 6.34347694531618 27.5567105933456 6.41751823669053e-14 9.65643969074823e-11 22.2232156044988 "AI661697" "NM_023292" "67049" "Pus3"
"1426471_PM_at" 2.90433134153205 8.90001537407651 28.2043333650197 4.61095435651935e-14 7.38531517860625e-11 22.5311836674376 "BM225280" "NM_144515" "22710" "Zfp52"
"1420499_PM_at" 3.07883688738284 7.88751354228593 25.4997683015247 1.93183935094466e-13 1.86416245774916e-10 21.1843487103678 "NM_008102" "NM_008102" "14528" "Gch1"
"1426472_PM_at" 4.21054496594563 6.17401025348329 25.5122169937657 1.91851151496136e-13 1.86416245774916e-10 21.1909308502893 "BM225280" "NM_144515" "22710" "Zfp52"
"1437247_PM_at" 4.49815453349822 6.60377026195383 31.1789151808664 1.10368161329216e-14 2.76784953920118e-11 23.8414709305642 "BM245170" "NM_008037 /// XM_909130" "14284 /// 634417" "Fosl2 /// LOC634417"
"1438796_PM_at" 4.65584247649427 8.29807250958367 29.4655996090296 2.47226929261881e-14 4.85220470165677e-11 23.1068506533883 "BE692107" "NM_015743" "18124" "Nr4a3"
"1449990_PM_at" 4.77836493615676 4.75591176764502 27.172822911231 7.83464280817964e-14 1.07616294844515e-10 22.0364999739165 "AF065914" "NM_008366" "16183" "Il2"
"1418322_PM_at" 5.45195971575329 6.31311972001494 62.7154657569883 4.79307431623356e-19 2.16364167709099e-14 31.6301370526134 "AI467599" "NM_001110850 /// NM_001110851 /// NM_001110852 /// NM_001110853 /// NM_001110854 /// NM_001110855 /// NM_001110856 /// NM_001110857 /// NM_001110858 /// NM_001110859 /// NM_013498" "12916" "Crem"
"1421173_PM_at" 5.83311722725168 7.62228622298916 26.1232697556088 1.37115896743903e-13 1.66913410452487e-10 21.5094621805069 "U34307" "NM_013674" "16364" "Irf4"
"1449037_PM_at" 6.06185403003985 6.87132547966243 42.9940425417877 1.10343300982344e-16 1.66033564988133e-12 27.7679866028455 "AI467599" "NM_001110850 /// NM_001110851 /// NM_001110852 /// NM_001110853 /// NM_001110854 /// NM_001110855 /// NM_001110856 /// NM_001110857 /// NM_001110858 /// NM_001110859 /// NM_013498" "12916" "Crem"
