Row Labels,EZ 1,EZ 2,post plasma_dried,pre plasma
CITRULLINE_pos_2,2430000,2014000,1463000,2183000
COENZYME A_pos_1,468.4,447.3,10040,4697
CORTISOL,1842000,4095000,230500,306700
CORTISONE,453500,741300,119800,170100
CREATINE_pos_1,59330000,50000000,42340000,30960000
CREATININE_pos_5,10870000,18010000,6635000,6548000
CYANOCOBALAMIN_+2_pos_3,4641,2694,5859,3420
CYCLIC AMP_neg_1,938.4,1028,1895,3578
CYCLIC AMP_pos_1,0,0,15300,0
CYSTATHIONINE_neg_1,154700,224800,141200,166200
CYSTATHIONINE_pos_1,1141,0,8834,5259
CYSTEAMINE_pos_1,18840,19940,4858,12470
CYSTEINE_neg_5,11960000,273300,1562000,2196000
CYSTINE_pos_2,715500,611400,20260,56510
CYTIDINE MONOPHOSPHATE_neg_1,15520,2801,742.3,13360
CYTIDINE MONOPHOSPHATE_pos_1,4195,3103,5419,4036
CYTIDINE_pos_1,19840,11070,46570,33060
CYTOSINE_pos_1,74670,13790,4121,0
D-Erythrose 4-phosphate_neg_2,120600,85630,43410,216100
D-RIBOSE 5-PHOSPHATE_neg_2,281400,296700,40010,485000
D-SEDOHEPTULOSE 7-PHOSPHATE_neg_1,0,0,825900,1786000
dCTP_neg_1,12460,6514,6702,3819
DEOXYADENOSINE MONOPHOSPHATE_pos_1,0,85870,661000,74410
DEOXYADENOSINE TRIPHOSPHATE_neg_2,1399,2816,464.2,1447
DEOXYADENOSINE TRIPHOSPHATE_pos_1,1267,994,4068,10900
DEOXYADENOSINE_pos_1,994300,1571000,742900,545200
DEOXYCYTIDINE MONOPHOSPHATE_pos_1,56240,57520,5166,3869
DEOXYGUANOSINE_neg_1,0,4270,25870,31730
DEOXYGUANOSINE_pos_1,338800,384100,10790,183400
DEOXYINOSINE_neg_2,2172,658.1,5702,1653
DEOXYINOSINE_pos_2,24280,2032,76230,91750
DEOXYRIBOSE 5-PHOSPHATE_neg_2,1064000,1155000,904800,1220000
DEOXYURIDINE TRIPHOSPHATE_pos_1,79330,75380,120300,56570
DEOXYURIDINE_neg_1,1536,5294,529.5,567.8
DEOXYURIDINE_neg_2,539.7,1290,1049,506.6
DEPHOSPHO-COA_neg_2,1520,462.1,549.4,489.4
DEPHOSPHO-COA_pos_1,50600,38320,13640,3779
dGDP_neg_2,3557,6908,7338000,3250000
